Jan,Nov
Baba Banwarilal Restaurant,Om Bhojnalaya
New Madras Cafe,Spice Fusion
Refuel,Annapurna
Sanjha Chula,Pure Punjabi Restaurant
Bikaner Sweets,Punjabi Tadka
Heaven's Point,Mix - The Westin Sohna Resort & Spa
Italy In The Town,Bikaner's Sweets Namkeen & Snacks
Meal A Deal,Surfer's
Bhukkadzz Point,Ashu Thali Wala
The Bibimbab,Chickenette
King's Kulfi And Icecream,Super Cake Shop
Chinois,Royal Takeaway & Delivery
Shawlin Fast Food,Mimi's Gourmet Gelato
Jai Shree Durga South Indian Corner,Shree Bikaner Misthan Bhandar
Believe in Taste,Henry's Cafe
Super Meat Wale,Elegant China X-Press
Shariq Mughlai,Brunch Point
Aggarwal Sweets & Caterers,From The Kitchen Of Mala Bindra
Let's Tango,Indian Gourmet
Mood 4 Food,Chicken Market
Mogambo Kitchen,Chacha Jee ki Desi Rasoi
Ankit Fast Food Corner,Mor Mukut Restaurant
Meethas Sweets,Vaishno Bhojnalaya
Ma Baker,Singh Tawa Corner
Jindal Bikaneri Sweets,Saravana South Indian Hut
Kati Roll Cottage,Haunted Foods
Bhappe Di Hatti,Uraki
Uttaranchal Dhaba & Restaurant,Cold Rock Cafe
Amritsari Xpress,Gurdev Punjabi Restaurant
Laziz Takeaway & Delivery,The Spice Villa
My Plate,Bangla Sweets & Pastry Shop
Lokenath Sweets,Kabab Corner's
Bikaner Mishthaan Bhandar,Holistic Food Center
Aneja Restaurant,Kumar Baker's
Sweet Bakes,Amit Hotel
Lalit Kathi Rolls,Mandeep Punjabi Rasoi
The Pastry Shop,Sethi Restaurant
Elegant China X-Press,Rahul Meat Corner
Manchanda Bakery,Jain Restaurant
Midnight Bites,Angrezee Dhaba
Sweetadilly,Handi Chic-Fish
Aunty Food Point,Al Zaika
Theobroma,A Plus Food Services
Hot & Spicy Chinese Food,Aafreen's
The Momo Villa,Zync - Rosewood Hotel
Chai Garam,Jhatpat Khana
Hyderabadi Bawarchi,Foodie Singh
Kings Kulfi & Ice Creams,Meethas Sweets
Delhi-6,Chinois
Pyaali,Silver Q
Bansal Restaurant,Madhuvan Chinese Fast Food
Tahini Mediterranean Lounge,Dhannuram Sweets & Restaurant
Woodfired 1.0,Choco N Lush
Raju Halwai,Simply South
Sizzlin Skillet,Spicy
Andhra Biryani House,Icy Curls
Anands Chic,Chinese Wok
Spice Fusion,Futomaki Home Delivery
Thaaliwaalaa.com,Annie Chau Mau
Chacha Jee ki Desi Rasoi,Kukkuu Da Dhaba
China King,The Lazeez
Saravana South Indian Hut,Tokyo Kitchen
Bikaner Sweets,Bharat Sweet Centre
Punjabi Masala,Meal A Deal
Padam Chinese Food Corner,Gulati Ki Rasoi
Sun Sweets Restaurant,Tandoori Nation
Angrezee Dhaba,Dominick Pizza
Frontier Restaurant,Raju Punjabi Dhaba
Shalimar Vyanjan,The Sugarlust
Rollers,Amritsari Kulcha King
Indian Gourmet,Amritsari Xpress
Cafe Knight Rider,Tadqa
Aggarwal Confectionary,New Madras Cafe
Popsy's,Hot & Juicy
Vyanjan,Super Meat Wale
Tokyo Mon Amour,Jai Maa Durga Choley Bhature
Gupha,Burger Top's
Yadav Ji Ke Mashoor Paranthe,Al Haj Bakery
Roller's High,Madras Coffee House
Me Kong Bowl,Rajpoot Dhaba
Garram Box,Lajawab Tandoori Tadka
Mandeep Punjabi Rasoi,Manchanda Bakery
Corner Cafe,Aggarwal Sweet & Bakers
Chilli Chatka,Hammad Chicken Biryani
Epicure's Delight,Shawlin Fast Food
Sardar Ji,Popsy's
Lotus House Restaurant,Mogambo Kitchen
Shri Radha Ki Rasoi,Bhukkadzz Point
Raju Punjabi Dhaba,Heaven's Point
Dev Burger,Bikaner Sweets
Simply South,Bikaner Mishthaan Bhandar
The Sugarlust,Shahenshah
Yo! Dimsum,The Sweet Spot
Vijay Corner,Ma Baker
Tokyo Kitchen,Shree Bikaner Sweets
Monu Jain Kachori Wala,King's Kulfi And Icecream
Zync - Rosewood Hotel,Raj Bakers And Confectioners
A Spicy Treat,Pizza Man
Dosa Plaza,La Chocoallure
Roti Boti With Cureeezz,Aggarwal Sweets & Caterers
Jai Maa Durga Choley Bhature,Lalit Kathi Rolls
Swaraj Masala Dosa Corner,Just Cakez
Aahar Meat & Chicken Shop,Bikaner
Kumar Baker's,Chai Garam
Mashoor Gulati,Slurp Pasta Express
Aggarwal Sweet & Bakers,Sanjha Chula
Angeethi,Pal Restaurant
Icy Curls,Kathi King Roll
Kabab Corner's,Shalimar Vyanjan
Dessert Art by Deepali Modi,Anand's Royal Rasoi
Choco N Lush,Indu Food Court
Bravo Diet Food and Nutrition,Al-Zaika
Punjab's Tandoor & Curries,Believe in Taste
Rrosy Restaurant,Shri Krishna Restaurant
Health Point Juice Cafe,Shivam Suresh Chaat Wala
The Choco Shop,Park Balluchi
The Chic,Shri Bankey Bihari Samosa Wala
Midnight Adda,Kitchen 3
Surfer's,Sonu's Vaishno Dhaba
Shanta Fresh Fish Corner,Junkies - Love For More
Bakey Wish,The Dirty Martini
Bengali Sweet Corner,Tokyo Mon Amour
Taste of Bengal,Muaah Bakery
Shiv Kitchen & Restaurant,The Last Resort
Rupa Ice Cream Parlour,New Green Chilli
Wasim Biryani Center,Frontier Restaurant
Bikaner Misthan Bhandar,Divine Lounge & Bar
deliKitchen,Food Routes
The Pastry Shop,Midnight Bites
Aahar Point,Mario's Pizza & Burger
Bilal Restaurant,Baza Restaurant
D.S Restaurant,The Chaiwalas
Sonu Take Away & Kathi Roll Corner,Royal Cakes
Chanson Chicken,WTF - World's Tastiest Food
Evergreen Food Plaza,Garram Box
Shri Krishna Restaurant,Bikaner
Khalsa Hindu Hotel,Narang Pastry Shop
Tandoori Nation,Parashar's
Windsor Chocolatier,Mellow Sun Family Restaurant
FOG Cafe and Lounge,Alna
Bite of Kolkata,Kitchen Of Fusion
Sweet Peas,Shree Radha Ki Rasoi
The Fresh Chicken Store,Corner Cafe
Italia Cafe by Aura,Dessert Art by Deepali Modi
Royal Family Restaurant,Om Bikaner Wala
Sindhi Kulfi Wala,WoW - Vada Pav & More
Kafe @ Museum,Delhi-6
Rambhoj,Flying Tandoor
Kolkata Roll Point,Desi Fire - The Dhaba's Food
Khan Chicken Biryani,Gupha Restaurant
Hareram Bikanerzaika,Mr. Flavour
Chandni Chowk ke Mashhoor Makkhan Wale Paranthe,Zustt Yummy
Deepika Khaitan's Cakes,Depaul's Coffee
Minii Punjab,Zaid Roll Corner
Jain Restaurant,Chaat King
Baadshah,Anands Chic
Bikaner,Satkar
Special No1 Biryani Corner,Swaraj Masala Dosa Corner
A Plus Food Services,Pizzalicious
Anupam Sweets & Restaurant,Desi Tadka
Amritsari Kulcha Kings,Yo! Dimsum
Alam Muradabadi Chicken Biryani,Global Kebab Factory
60 ML - Country Inn & Suites by Carlson,Chinu Chinese Fast Food & Snacks
Swastik Restaurant,Max Bakers
Gg's The BRGR Shop,Sonu South Indian Restaurant
Bobby Dhaba & Caterers,Roti Boti With Cureeezz
Fat Monk,Vandeez Tadka
Jagadeesh Kharodewala,S.P.W Pizza
Muaah Bakery,Hang Out
Amritsari Naan Corner,A1
Aap Ki Rasoi Ghar,Evergreen Food Plaza
Laziz Restaurant,Dilli Grillz
Om Bhojnalaya,Bengali Sweet Corner
Gabru's Kitchen,Shree Bikaner Mishthan Bhandar
Shahi Kitchen,Wasim Biryani Center
Rahul Meat Corner,Pick N Bite
Evergreen Sweets,Deepika Khaitan's Cakes
B Tamang Chinese Restaurant,The Crazy Mughals
The Lunch Break,Dil Pasand Shahi Dora Kebab
Alna,Haveliram
D Veggie Pizza,Apna Bhojnalya
Ginni Rasoi,New Bangla Restuarant
Snack Junction,The Chic
Bakingo,Italia Cafe by Aura
Pappu Fish Corner,Punjab's Tandoor & Curries
Green Leaf Restaurant,The Pastry Shop
Rehmatullah's Hotel,Nanak Misthan Bhandar
Desi Tadka,Peddler Street Cafe
Cake Maker,Shanta Fresh Fish Corner
BakeAru,Shanghai Chinese
Bhoomika,Apni Rasoi
Narang Pastry Shop,Sonu Take Away & Kathi Roll Corner
Pane Fresco,Arabian Knites
Maa Ki Rasoi,Khalsa Hindu Hotel
Shawarma King's,Darbar Chicken Corner
Barichi Restaurant,Bakeyard
Aggarwal Restaurant,Anupam Sweets & Restaurant
Chandni Chowk Parantha Corner,The Butter Cup
Burger Bros,Hareram Bikanerzaika
Sialkot,Chandni Chowk Parantha Corner
Puskar Raj Momos & Chinese Corner,Kolkata Roll Point
Aggarwal Bikaneri Sweets,Little Bites
Ambrosia,Pop N Fry
More Than Café,Aggarwal Standard Sweets
Mama Dhaba,Aahar Point
Mystical Bundle,Shree Hari Vaishnav Dhaba
Chinese By Isabella,Kumaon Dhaba & Service
Chaap Express,Pandit Ji Ki Apni Rasoi
Yum Yum Chinese Fast Food,Khan Chicken Biryani
Aggarwal Sweets India,Beyond Breads
Mandrain,Standard Sweets
Aggarwal Sweet Centre,Dhaba King
Sonu South Indian Restaurant,Singh Mutton & Chicken Shop
Radha Swami Vaishno Dhaba,Maa Bhagwati Tiffins
Al Dani,Adarsh Kulfi
Apna Sawad,Janta Special Lassi Corner
Pahariya Chicken Corner,Wraps Cafe
Lush,Muradabadi
Super Cake Shop,Barichi Restaurant
Royal Rasoi,Khoji's
Prem Chhabra,Cha Cha Cha
Oasis Kitchen,Cafe T3
Kallu Hot Zaika,MD Kitchen
Shri Raja Rajeshwari,Dominick Pizza
Complete Food Solutions,Royal Biryani House
The Butter Cup,The Lunch Break
Rita Chinese Food,Swaad Restaurant
Duggal's,Garhwal Bakery
The Test,Qquick Meal
Mimi's Gourmet Gelato,Lucknow Wale Kababi
Moti Mahal Delux,Laziz Restaurant
Gagan Assam Bengal Restaurant,Ginni Rasoi
Majlis Cafe,Soni Bhojnalaya
The Reset,Bunny Burgers
Cafe Paradise,Pichli Gali
Singh Mutton & Chicken Shop,Kathi Junction
Food N Shakes,Huckleberry's By Harpreet
Eat N Take,Prem Chhabra
Auntie Anne's Pretzel,Ambrosia
Annapurna,Burger Bros
Mystique Flavours,Chennai Express To China
Radha ki Rasoi,Saffron Grille
Chicken Market,Chicken n Spice
Liquid,Anmol Chicken
Aggarwal's Sweets,Quickie
A Hunger Street,BakeAru
Chaat Corner,Shri Raja Rajeshwari
The Salad Bowl,60 ML - Country Inn & Suites by Carlson
Sip & Snacks,Bhoomika
Sharma Sweets Corner,Sadda Chicken Adda
The Living Room,Zaffran- Ikshita's Kitchen
Cakelicious,Chai Thela
Chibby's Kitchen,Pane Fresco
Sethi Restaurant,New China Town
Chinese Hut,Rita Chinese Food
Vobs,Apni Rasoi
St. Spicy Treat,Snackswale
Shri Murli Wala,Chaat Corner
34 Chorangi Line Zaika,Aggarwal Bikaneri Sweets
Apna Bhojnalya,Oasis Kitchen
Chicken Bite,Evergreen Sweets
Sethi'ss,Jhakkaas
Vasundhara Blues,Apna Sawad
Tanatan Eats Corner,Aggarwal Restaurant
Saffron Grille,Nizami Darbar
Get Set Go,Nanu Ki Rasoi
Healthy Oaties,Gagan Assam Bengal Restaurant
Hunger's Hut,The Food Plaza
Neelma Punjabi Dhaba,Mandrain
Kwality Bengali Sweets,Vegetariano
Chuni Lal Sweets & Namkeen,The Pastry Hut
Kamala Fast Food & Chinese,Maha Laxmi Bhojanalaya
Kesariya Mishthan,Shahenshah
Standard Sweets,Desi Thaat
The Masala Route,Giani
PCC - Punjabi Chaap Corner,Foodiee Night
New Om Snacks,Cherry Crossing Foods
Bro Cake,Invitation
Pahuja Chinese Fast Food Corner,New Bharat Sweets Corner
Le Crescent,Lush
Kathi's,PSK - Prem Se Khao
Cake Me Up,Dosa Centre
Vaishno Punjabi Dhaba,Dawat The Live Kitchen
Maharaja Lounge Bar - Kingdom of Dreams,Tanatan Eats Corner
Zaika,Breakfast@60
Maa Bhagwati Tiffins,"34, Chowringhee Lane"
Desi Videshi,Sialkot
Smugglers,Delhi Rasoi
Spice Affair,The Home Bake Store
Chef's Signature,Sethi Ice Cream Parlour
Bakes & Cakes,Kamats
Lamba Amritsari Naan,The Ranch
B3S Foods,Love Triangle
Old Kheer Shop,Tandoori Nights
Kolkata Rolls & Biryani,Baithak
Beyond Breads,Cakelicious
The Dragon Haat,Neptune - Fortune Park DJ Avenue
Cafe Soho,Lounge Cricket
Green Chilly Chinese Food,The Living Room
Batra Restaurant,Baker's Pride Bakery
Jain Restaurant,Pahariya Chicken Corner
Dosa Centre,Meenakshi Mess
Haveliram,Eggless Dukes
Pizza Club,Kwality Bengali Sweets
New Bharat Sweets Corner,Cake Like Love
Kapoor Kitchen,Mama Dhaba
Meatigo,Al Rafik Food
Laziz Fast Food & Laziz Khana,Healthy Oaties
BBQ Station,Bharat Sweet House
Panchwati Rasoi,Royal Rasoi
New Green Chilli,Pizza Treat
Gurkha - The Bravehearts,Oriental Kitchen Express
Grill Street,Caramel
Popular Chicken,Kwality Sweets & Restaurant
Baker's Pride Bakery,Radha Swami Vaishno Dhaba
Balaji Restaurant,Yummees Ready Foods
Nizami Darbar,Foodies Strikes
Handi 'N' Kabab,New Om Snacks
Dil Pasand Shahi Dora Kebab,Aggarwal's Sweets
Cake & Bake,The Gourmet Street Kitchen
Amritsar Express,Frozen Factory
Teekhi Biryani,Chinese Food Corner
M&S Coffee Cafe,Daksh Chinese Food
Chai Time,The Masala Route
Kitchen 3,Kesariya Mishthan
Komal Kitchen,Goldy Da Dhaba
Resunga Food Corner,Neelma Punjabi Dhaba
Diwan Sweets House,Bikaner's
Juneja's Kitchen,Bridges
Alpha,Bro Cake
Lambu Punjabi Dhaba,Zaika Amritsari
Agarwal Sweets,Flying Tandoor
Qureshi Chicken Corner,Wok n Grillz
Kingdom Food Plaza,Majlis Cafe
Little Pleasure Restaurant & Cafe,St. Spicy Treat
Pehalwan Da Hotel,Sindhi Kulfi
Crown,Bikaner's Sweets
Bikaner Sweets,Fructoes
Garhwal Mahak Chinese Food,34 Chorangi Line Zaika
Bakery Hub,Mitra Di Chaap
Shyama Shyam Bakery,Look Uttapams
China's Fork,Royal Kitchen
Hangchuaa's Chinese Food Corner,A Hunger Street
Punjabi Kukkad,Prakash Misthan & Fast Food
La-Nawaab,Southern Welcome Restaurant
Aggarwal Sweet Centre,La-Nawaab
WoW - Vada Pav & More,The Chaap Hut
Woods High,Swastik Restaurant
Pawan Dhaba,Mayank's Punjabi & Mughlai Food
New Chinese Hut,Pure Protein
GreeNox,Mughal Shahi Chicken Point
Dharma Punjabi Dhaba,Bhikharam's
Punjabi Vaishno Dhaba,Alif Mughlai Food
Pocket Friendly Cafe,Balaji Restaurant
Adhikari Fast Food Corner,Lajawab Chinese Food
Ave Maria,Restaurant Cafe Sheep
Shree Bikaner Mishthan Bhandar,Red Chili's
Chillies Cafe,Pradip Momos Point
Biryanis N Pulaos,Gali Chaat Wali - 72 Mad Street
Hot & Juicy,D.S Restaurant
The Chef Panda,The Roll Corner
Virmani Ki Hyderabadi Biryani,Biryanis N Pulaos
Qureshi's Foods,Shri Murli Wala
1911 Bar - The Imperial,Duggal's
Kathi Roll Corner 44,Sonu Sweets
Mourya Sweets Chat Bhandar,Sizzle on Wheels
Adarsh Kulfi,Babli Naan Wala
Ashok And Ashok Meat Dhaba,The Dragon Haat
Zaika,Vaishno Punjabi Dhaba
Bikaner House,Craving Cure
Shiv Saras Vyanjan,Sargam Sweets
Flavors Of London,Punjabi's Veg Grill
Shree Bikaner Mishthan Bhandar,Fusion Bites
Flying Tandoor,Upper Deck
Singh's Ice Cream Parlour,Bolgatty Palace Restaurant
China Hut,Healthy Food Point
The Good Food Xpress,Pishori Chicken & Kabab
Adarsh Kulfi,Veg Point
China Town,The Sip Factory
Baithak,Jain Restaurant
Kamal Restaurant,FKC
Kukkuu Da Dhaba,Batra Restaurant
Manomay Foods,Madrasi Cafe
Shivam Suresh Chaat Wala,Pandit Ji Ka Dhaba
Lala Da Shudh Vaishno Dhaba,Cake & Bake
Invitation,Muskan Bakers
Arabian Knites,Cafe Soho
Crust N Cakes,Angithi
Sweet 'N' Spicy,Royal Awadh
Punjabi Tadka,RSVP
Healthy Food Point,Kya Royal
Kapoor Bakers,Sama Chicken Biryani
Dawat The Live Kitchen,Grand Madras Cafe
Princy Coffee House,Mx Corn
Penguin Bakers & Shakers,Laziz Fast Food & Laziz Khana
Shyam Sweets,Handi 'N' Kabab
Bansiwala Food Corner,Gupta's Rasoi
Bharat Sweet House,Chaap Chaska
Kapoor Dhaba,Joost Juice Bar
Royal Mart,Fire n Ice Cucina
Jhakkaas,Chhappan Bhog - Sweets & Bakery Shop
Veg Point,Anupam Sweets & Restaurant
Bhutani's,Maharaja Lounge Bar - Kingdom of Dreams
Chick Pick,Damodar Chinese Fast Food
Cream Bell,Taai Ki Rasoi
Aggarwal Standard Sweets,Maheshwari Bhoj
Madhulika,Radhe Shyam
Breaktym,Jalsa
Aggarwal Sweet And Pastry,Bhushan Cake Shop
Florence Angel,Chinese Chilly Sizzler
Lite Eat Cafe,China's Fork
Swaad Restaurant,Chip N Dale
Sri Krishna Udupi,Lambu Punjabi Dhaba
Bala's Kitchen,Kingdom Food Plaza
Tandoori Corner,Lamba Amritsari Naan
Sugar Cake,Darjeeling Kanchanjanga Momos
New Aggarwal Restaurant,Hundilal's
Meenakshi Mess,Mio Gelato
WTF - World's Tastiest Food,Huddle Cafe
Mahipal Dhaba,Aalam Chicken Corner
Back Door Delivery,Punjabi Dhaba
Amchur,More Than Café
Buttercup by Aneeka,Anand Ji de Choley Bhatoore
Biryani Trails,Choco Kraft
MOC - The American Restaurant,Chandni Chowk ke Mashhoor Makkhan Wale Paranthe
Green Leaf,China Town
GT Bar Restaurant,Deepak Sandwich Corner
Black Restaurant,Mehak Chicken Food
Shri Bankey Bihari Samosa Wala,Crown
Daawat-e-Khass,Manomay Foods
Vaango!,The Street
Yummees Ready Foods,Biryani 365
Indian Diners,Breaktym
Chicken n Spice,Dharma Punjabi Dhaba
Advance Bakery,Hungry Hut
Ratlam Junction,Healthy Food Point
Rama Vaishnav Bhojnalaya,The Good Food Xpress
Chinese Bistro,Mitran Da Junction
Local,Pizza & Pasta
Ganesh Anna South Indian Food Corner,Shyam Sweets
Vrinda's Food,Refuel Cafe
Raj Bakers And Confectioners,Bankey Bihari's Bhojnalaya
Bharat Chicken Inn Foods,Komal Kitchen
Royal Biryani House,Manoj Da Special Amritsari Naan
Healthy Food Point,Zaika
Punjabi Zaika,Aggarwal Sweet Centre
Delhi Tawa Express,Agarwal Sweets
Bhikharam's,Tandoor Nama
Sam's Kitchen,Bikaner House
Cafe Brownie,Cafe Mom
Shadev Saini Dhaba,Hyderabad House
Chacha Jee Ki Chowpathi,Adarsh Kulfi
Restaurant Cafe Sheep,Kapoor Dhaba
Huckleberry's By Harpreet,Black Restaurant
Sardarji Da Punjabi Dhaba,Hari Om Chole Bhature
Meatwale.com,Panchguni Amratsari Kulcha
S Sons,Prince Cafe
Funzz Club,Pocket Friendly Cafe
Panchhi Petha,Shahi Food Corner
D. K. Chocolate Fountain,JVR Jayka
Wah G Wah,Smugglers
Gupta Bikaneri Namkeen,Radha Swami Cool Hut
Snacks Bar,Om Bikaner Wala
Balaji Sweets & Snacks,China Hut
Moksha - The Lounge,Swiss Softy
Anupam Sweets & Restaurant,KC Fast Food
Hot & Spicy,Woods High
Five Star Dhaba,Punjabi Vaishno Dhaba
Shudh Vegetarian,Bhutani's
Punjab Sweets,Thalaivar
Star Foods,Kapoor Bakers
Estasi Cafe,The Good Food Cafe
Manoj Da Special Amritsari Naan,Jugal Bakers
Curries & Kebabs,Zaika
Punjabi Dhaba,Shiv Saras Vyanjan
China Town,Bala's Kitchen
Theobroma,Angel's Feast
Serendipity Cafe,Sai Corner
Pandit Ji Ka Dhaba,Amul
Rupa Dairy,Mintt Leaf
Chander Dhaba,Baljee Rasoi
Shakes Cabana,Dosa Corner
Malik Vegetarian Rasoi,Choco Chino
The Home Bake Store,Penguin Bakers & Shakers
Chaat King,Taste Of Himalay
Southern Welcome Restaurant,Sinful Bites
South Indian Hut,Sugar threads
Armory - Hotel Haut.Monde,Flavors Of London
Al- Mueen Chicken Corner,Friends Food Point
Mahender's Punjabi Dhaba,Bikaner Sweets Corner
Mela Food Corner,Swag Sadda Desi
The Mirch Masala,Yash Sweets & Confectionery
Punjab Chicken & Bar-Be-Que,Sai Rasoi
Anand's Royal Rasoi,Indian Diners
Hunky,Bansiwala Food Corner
ABS Foods,Virmani Ki Hyderabadi Biryani
Kottai Karuppaye Food Corner,Snacks Bar
Golden Bakery,Spicy Affair
Breadways Bakers,Crust N Cakes
Sweets - Sakshi Kohli,365 Naturals
Taste of Vishal,Shri Balaji Restaurant
Amritsari Express,Everyday Meal Healthy Tiffin
Shahi Zaikaa,Kavita's Restaurant
Aryan's Rajasthani Pyaz Ki Kachori,Sai Juice Point
Mx Corn,Shree Bikaner Mishthan Bhandar
Singh Saab's Restaurant,Shri Tiwari Confectioner
Chaat Chowk,Chawla Fast Food
Fish-n-Chicken.com,Adarsh Restaurant
Sadda Adda,Cream Bell
Ammy's Kitchen,The Kafilla
S Hotel,Food Island
Snackswale,Shree Ratan's Restaurant
Pummy Chicken,Chicken Palace
Annie Chau Mau,hug!
Neptune - Fortune Park DJ Avenue,Green Leaf
Desi Thaat,Shadev Saini Dhaba
Aggarwal Sweets,Rama Vaishnav Bhojnalaya
Shri Gagan Dhaba,Riviera
JVR Jayka,Midnight Delight
Dee Cake Shop,Yum Yum Chinese Fast Food
Mayank's Punjabi & Mughlai Food,Amchur
Taj Snacks,GT Bar Restaurant
Richi Rich Treat House,Kafe @ Museum
Kay's Bar-Be-Que,STC
Shrimath Bake and Fast Food,Durga Dhaba
Mithaai Vatika,Sardarji Da Punjabi Dhaba
Shahi Kachauri Wale,Pit Stop
Choco Chino,Shri Bikaner Sweets
Shri Radhe,Sunnyvale Fresh and Frozen
Annpurna Bhandar,Ganesh South Indian Food Corner
Aggarwal Choley,Tandoori Corner
Dhannuram Sweets & Restaurant,Aapki Rasoi
Ludhiana Wala,MD's Kebabs & Curries
Dominick Pizza,Punjabi Vaishno Rasoi
Kumaon Dhaba & Service,Buttercup by Aneeka
Bridges,The Chef Panda
Cafe Regent,Ambrosia
Vikram Ji Snacks,Sam's Kitchen
The Singh's Kebabs & Curries,Chick Pick
Al-Sameer,Natkhat Bakers
Sindabad's Gallery,Spice 6
Chination,Mayur Dawat
Crowning Cakes,Epicure's Delight
Pit Stop,Allure
Rajeev Restaurant,Uncle G
Tongue Twisters,Adhikari Fast Food Corner
Juice And Shakes Bar,Punjabi Zaika
China Express,Kumar Pastry Shop
KaamDhenu Family Corner,Advance Bakery
Serendipiti,Mio Gelato
Uncle's Treat,Confiteria - The Bakery Kitchen
Quality Restaurant,Three Olives
Qureshi's Mutton & Chicken Shop,S Sons
Chanana Ice Cream Parlour,Hot & Spicy
Delicious Treasure,Kamal Restaurant
The Kafilla,Bakes & Cakes
Organic Express,Xpert Bakers
Apni Rasoi,Baba Banwarilal Restaurant
RK Hot And Spices,Rupa Dairy
Bikaner,Taste of Vishal
Vandeez Tadka,Deccan Snacks
Veggie Delite,D. K. Chocolate Fountain
Milan Shudh Vaishno Dhaba,Au Bon Pain
Mughal Shahi Chicken Point,The Dosa King
Eat Street,Shudh Vegetarian
The Vegas Cafe,Punjab Chicken & Bar-Be-Que
Saini Sweets,Chicken.com
Gohana Famous Jalebi,Ice N Hot Berg
Dragon Hut,Balaji Sweets & Snacks
Khushi Dhaba,Shree Sai Hari Caterers
KC Fast Food,Bharat Chicken Inn Foods
New China Town,Estasi Cafe
Green Chick Chop,Om Eating Point
The Allure,Dee Cake Shop
Bikano's Chat Cafe,Gupta Bikaneri Namkeen
Hideout Lounge & Cafe,Rehlan Punjabi Rasoi
Bikaner Misthan Bhandar,Banwari Lal Halwai
Taal,Eat Street
Food Minar,Armory - Hotel Haut.Monde
Punjabi Tandoor,Priya Panchvati
New Kamal Restaurant,Zawlbuk
Aggarwal Bikaner Sweets Corner,Jodhpuria
Shaan-E-Tandoorz,Fish-n-Chicken.com
New Anand Sagar,China Town
Royal Cakes,Chander Dhaba
Chennai Express To China,Punjab Sweets
Bikaner's Sweets,Titu Chaat Corner
Hawalat Lounge & Bar,Cafe Regent
Chinese Hot Express,Pummy Chicken
STC,Shri Gagan Dhaba
Shri Rudram,Breadways Bakers
Desi Fire - The Dhaba's Food,Spicy Momoz
Chappan Bhog,Aggarwal Sweets
Homemade Foodlife,Aggarwal Choley
Ambrosia,Crowning Cakes
Krishna Sweets & Restaurant,Khushi Dhaba
Zaika Muradabadi,Five Star Dhaba
"34, Chowringhee Lane",Sip & Snacks
Tandoor Nama,Wah Ji Wah
Refuel Cafe,Sindabad's Gallery
Popeyes Ice Cream Rolls,Hungry Buds
Friends Food Point,Shrimath Bake and Fast Food
Naughty 9 Kitchen & Bar,South Indian Hut
Pichli Gali,Shri Krishna Vaishno Dhaba
Divine Bites,Mithaai Vatika
Royal Spices Restaurant,Sweets - Sakshi Kohli
Shri Sai Cottage,Sitaram Burger Wale
Shree Ratan's Restaurant,mealaunty
Apni Rasoi,The Mirch Masala
Sunnyvale Fresh and Frozen,Aggarwal Bikaneri Sweets
Zaid Roll Corner,Wah Shah Ji Wah
Mangu Ram Hotel,Richi Rich Treat House
HotMess Bakes,Food Point
Health Buzzz,Organic Express
New Laziz,Pure Punjabis
Aggarwal Sweets,Kamal Restaurant
Verma Ji Caterers,Serendipiti
The Hunger Depot,Khalsa Chicken Corner
Sen's Sational Kitchen,Happiness Bakery Cafe
Spice Club,T Cakes
